2018-11-15 16:32:25,181 DEBUG (0.002) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-15 16:32:37,498 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 3; args=(3,)
2018-11-15 16:32:37,503 DEBUG (0.002) SELECT `assets`.`id`, `assets`.`hostname`, `assets`.`cpu_num`, `assets`.`cpu_model`, `assets`.`mem_total`, `assets`.`disk`, `assets`.`public_ip`, `assets`.`private_ip`, `assets`.`remote_ip`, `assets`.`status`, `assets`.`os_system`, `assets`.`service_line`, `assets`.`frame`, `assets`.`op`, `assets`.`remark`, `assets`.`create_time`, `assets`.`update_time` FROM `assets`; args=()
2018-11-15 16:32:40,778 DEBUG (0.002) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-15 16:32:40,779 DEBUG (0.001) SELECT VERSION(); args=None
2018-11-15 16:32:40,785 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dm3neianqfku0beusrgj7br2c9p2zez3' AND `django_session`.`expire_date` > '2018-11-15 08:32:40.771436'); args=('dm3neianqfku0beusrgj7br2c9p2zez3', '2018-11-15 08:32:40.771436')
2018-11-15 16:32:40,788 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 3; args=(3,)
2018-11-15 16:32:40,797 DEBUG (0.006) SELECT `user`.`id`, `user`.`username`, `user`.`sex`, `user`.`age`, `user`.`city`, `user`.`create_time`, `user`.`update_time` FROM `user`; args=()
2018-11-15 16:32:45,276 DEBUG (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-15 16:32:45,278 DEBUG (0.001) SELECT VERSION(); args=None
2018-11-15 16:32:45,282 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dm3neianqfku0beusrgj7br2c9p2zez3' AND `django_session`.`expire_date` > '2018-11-15 08:32:45.271337'); args=('dm3neianqfku0beusrgj7br2c9p2zez3', '2018-11-15 08:32:45.271337')
2018-11-15 16:32:45,285 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 3; args=(3,)
2018-11-15 16:32:45,289 DEBUG (0.002) SELECT `user`.`id`, `user`.`username`, `user`.`sex`, `user`.`age`, `user`.`city`, `user`.`create_time`, `user`.`update_time` FROM `user` WHERE `user`.`id` = 1; args=(1,)
2018-11-15 16:33:19,923 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-15 16:33:19,924 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-15 16:33:19,927 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dm3neianqfku0beusrgj7br2c9p2zez3' AND `django_session`.`expire_date` > '2018-11-15 08:33:19.917502'); args=('dm3neianqfku0beusrgj7br2c9p2zez3', '2018-11-15 08:33:19.917502')
2018-11-15 16:33:19,930 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 3; args=(3,)
2018-11-15 16:33:19,934 DEBUG (0.002) SELECT `assets`.`id`, `assets`.`hostname`, `assets`.`cpu_num`, `assets`.`cpu_model`, `assets`.`mem_total`, `assets`.`disk`, `assets`.`public_ip`, `assets`.`private_ip`, `assets`.`remote_ip`, `assets`.`status`, `assets`.`os_system`, `assets`.`service_line`, `assets`.`frame`, `assets`.`op`, `assets`.`remark`, `assets`.`create_time`, `assets`.`update_time` FROM `assets`; args=()
2018-11-15 16:51:39,730 DEBUG (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-15 16:51:39,731 DEBUG (0.001) SELECT VERSION(); args=None
2018-11-15 16:51:39,831 DEBUG (0.003) SHOW FULL TABLES; args=None
2018-11-15 16:51:39,839 DEBUG (0.003) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-11-15 16:52:51,719 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-15 16:52:51,720 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-15 16:52:51,774 DEBUG (0.002) SHOW FULL TABLES; args=None
2018-11-15 16:52:51,778 DEBUG (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-11-15 16:53:01,020 DEBUG (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-15 16:53:01,021 DEBUG (0.001) SELECT @@sql_mode; args=None
2018-11-15 16:53:01,022 DEBUG (0.001) SELECT VERSION(); args=None
2018-11-15 16:53:01,091 DEBUG (0.003) SHOW FULL TABLES; args=None
2018-11-15 16:53:01,097 DEBUG (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-11-15 16:53:01,100 DEBUG (0.002) SHOW FULL TABLES; args=None
2018-11-15 16:53:01,102 DEBUG (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-11-15 16:53:01,147 DEBUG CREATE TABLE `log` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `query_time` datetime(6) NOT NULL, `logname` varchar(64) NOT NULL UNIQUE, `loglevel` varchar(128) NOT NULL, `count` integer NOT NULL); (params None)
2018-11-15 16:53:01,200 DEBUG (0.053) CREATE TABLE `log` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `query_time` datetime(6) NOT NULL, `logname` varchar(64) NOT NULL UNIQUE, `loglevel` varchar(128) NOT NULL, `count` integer NOT NULL); args=None
2018-11-15 16:53:01,203 DEBUG (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'log'; args=['log']
2018-11-15 16:53:01,205 DEBUG (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'log'; args=['log']
2018-11-15 16:53:01,207 DEBUG (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'log'; args=['log']
2018-11-15 16:53:01,209 DEBUG (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'log'; args=['log']
2018-11-15 16:53:01,211 DEBUG (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'log'; args=['log']
2018-11-15 16:53:01,213 DEBUG (0.002) SHOW FULL TABLES; args=None
2018-11-15 16:53:01,215 DEBUG (0.000) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('loganalysis', '0001_initial', '2018-11-15 08:53:01.214255'); args=['loganalysis', '0001_initial', '2018-11-15 08:53:01.214255']
2018-11-15 16:53:01,222 DEBUG (0.003) SHOW FULL TABLES; args=None
2018-11-15 16:53:01,227 DEBUG (0.003) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-11-15 16:53:01,301 DEBUG (0.047) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'admin' AND `django_content_type`.`model` = 'logentry'); args=('admin', 'logentry')
2018-11-15 16:53:01,318 DEBUG (0.015) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON (`auth_permission`.`content_type_id` = `django_content_type`.`id`) WHERE `auth_permission`.`content_type_id` IN (1) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(1,)
2018-11-15 16:53:01,320 DEBUG (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'admin'; args=('admin',)
2018-11-15 16:53:01,323 DEBUG (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'auth' AND `django_content_type`.`model` = 'permission'); args=('auth', 'permission')
2018-11-15 16:53:01,325 DEBUG (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'auth' AND `django_content_type`.`model` = 'group'); args=('auth', 'group')
2018-11-15 16:53:01,327 DEBUG (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'auth' AND `django_content_type`.`model` = 'user'); args=('auth', 'user')
2018-11-15 16:53:01,330 DEBUG (0.001) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON (`auth_permission`.`content_type_id` = `django_content_type`.`id`) WHERE `auth_permission`.`content_type_id` IN (2, 3, 4) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(2, 3, 4)
2018-11-15 16:53:01,332 DEBUG (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'auth'; args=('auth',)
2018-11-15 16:53:01,334 DEBUG (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'contenttypes' AND `django_content_type`.`model` = 'contenttype'); args=('contenttypes', 'contenttype')
2018-11-15 16:53:01,337 DEBUG (0.001) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON (`auth_permission`.`content_type_id` = `django_content_type`.`id`) WHERE `auth_permission`.`content_type_id` IN (5) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(5,)
2018-11-15 16:53:01,339 DEBUG (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'contenttypes'; args=('contenttypes',)
2018-11-15 16:53:01,341 DEBUG (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'sessions' AND `django_content_type`.`model` = 'session'); args=('sessions', 'session')
2018-11-15 16:53:01,344 DEBUG (0.001) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON (`auth_permission`.`content_type_id` = `django_content_type`.`id`) WHERE `auth_permission`.`content_type_id` IN (6) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(6,)
2018-11-15 16:53:01,346 DEBUG (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'sessions'; args=('sessions',)
2018-11-15 16:53:01,348 DEBUG (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'assets' AND `django_content_type`.`model` = 'assets'); args=('assets', 'assets')
2018-11-15 16:53:01,351 DEBUG (0.001) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON (`auth_permission`.`content_type_id` = `django_content_type`.`id`) WHERE `auth_permission`.`content_type_id` IN (7) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(7,)
2018-11-15 16:53:01,353 DEBUG (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'assets'; args=('assets',)
2018-11-15 16:53:01,355 DEBUG (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'user' AND `django_content_type`.`model` = 'users'); args=('user', 'users')
2018-11-15 16:53:01,358 DEBUG (0.001) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON (`auth_permission`.`content_type_id` = `django_content_type`.`id`) WHERE `auth_permission`.`content_type_id` IN (8) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(8,)
2018-11-15 16:53:01,360 DEBUG (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'user'; args=('user',)
2018-11-15 16:53:01,362 DEBUG (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'loganalysis' AND `django_content_type`.`model` = 'log'); args=('loganalysis', 'log')
2018-11-15 16:53:01,364 DEBUG (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'loganalysis' AND `django_content_type`.`model` = 'log'); args=('loganalysis', 'log')
2018-11-15 16:53:01,366 DEBUG (0.001) INSERT INTO `django_content_type` (`app_label`, `model`) VALUES ('loganalysis', 'log'); args=['loganalysis', 'log']
2018-11-15 16:53:01,390 DEBUG (0.001) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON (`auth_permission`.`content_type_id` = `django_content_type`.`id`) WHERE `auth_permission`.`content_type_id` IN (9) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(9,)
2018-11-15 16:53:01,392 DEBUG (0.001) INSERT INTO `auth_permission` (`name`, `content_type_id`, `codename`) VALUES ('Can add log', 9, 'add_log'), ('Can change log', 9, 'change_log'), ('Can delete log', 9, 'delete_log'); args=('Can add log', 9, 'add_log', 'Can change log', 9, 'change_log', 'Can delete log', 9, 'delete_log')
2018-11-15 16:53:01,398 DEBUG (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'loganalysis'; args=('loganalysis',)
2018-11-16 14:19:35,331 DEBUG (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-16 14:19:35,332 DEBUG (0.001) SELECT VERSION(); args=None
2018-11-16 14:21:36,858 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-16 14:21:36,859 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-16 14:24:40,479 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-16 14:24:40,480 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-16 14:24:40,822 DEBUG (0.196) INSERT INTO `log` (`query_time`, `logname`, `loglevel`, `count`) VALUES ('2018-11-16 06:24:40.625956', 'django.log', 'DEBUG', 0); args=['2018-11-16 06:24:40.625956', 'django.log', 'DEBUG', 0]
2018-11-16 14:24:40,827 DEBUG (0.001) INSERT INTO `log` (`query_time`, `logname`, `loglevel`, `count`) VALUES ('2018-11-16 06:24:40.826510', 'django.log', 'INFO', 9); args=['2018-11-16 06:24:40.826510', 'django.log', 'INFO', 9]
2018-11-16 14:27:27,025 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-16 14:27:27,026 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-16 14:27:27,199 DEBUG (0.046) SHOW FULL TABLES; args=None
2018-11-16 14:27:27,217 DEBUG (0.014) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-11-16 14:27:40,676 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-16 14:27:40,677 DEBUG (0.000) SELECT @@sql_mode; args=None
2018-11-16 14:27:40,678 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-16 14:27:40,758 DEBUG (0.003) SHOW FULL TABLES; args=None
2018-11-16 14:27:40,764 DEBUG (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-11-16 14:27:40,769 DEBUG (0.003) SHOW FULL TABLES; args=None
2018-11-16 14:27:40,771 DEBUG (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-11-16 14:27:40,997 DEBUG (0.186) 
            SELECT kc.`constraint_name`, kc.`column_name`,
                kc.`referenced_table_name`, kc.`referenced_column_name`
            FROM information_schema.key_column_usage AS kc
            WHERE
                kc.table_schema = DATABASE() AND
                kc.table_name = 'log'
        ; args=['log']
2018-11-16 14:27:41,005 DEBUG (0.008) 
            SELECT c.constraint_name, c.constraint_type
            FROM information_schema.table_constraints AS c
            WHERE
                c.table_schema = DATABASE() AND
                c.table_name = 'log'
        ; args=['log']
2018-11-16 14:27:41,114 DEBUG (0.109) SHOW INDEX FROM `log`; args=None
2018-11-16 14:27:41,114 DEBUG ALTER TABLE `log` DROP INDEX `logname`; (params ())
2018-11-16 14:27:41,206 DEBUG (0.091) ALTER TABLE `log` DROP INDEX `logname`; args=()
2018-11-16 14:27:41,206 DEBUG CREATE INDEX `log_logname_3b75fe49` ON `log` (`logname`); (params ())
2018-11-16 14:27:41,224 DEBUG (0.018) CREATE INDEX `log_logname_3b75fe49` ON `log` (`logname`); args=()
2018-11-16 14:27:41,229 DEBUG (0.005) SHOW FULL TABLES; args=None
2018-11-16 14:27:41,233 DEBUG (0.001) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('loganalysis', '0002_auto_20181116_1427', '2018-11-16 06:27:41.230194'); args=['loganalysis', '0002_auto_20181116_1427', '2018-11-16 06:27:41.230194']
2018-11-16 14:27:41,241 DEBUG (0.003) SHOW FULL TABLES; args=None
2018-11-16 14:27:41,245 DEBUG (0.002) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-11-16 14:27:41,347 DEBUG (0.033) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'admin' AND `django_content_type`.`model` = 'logentry'); args=('admin', 'logentry')
2018-11-16 14:27:41,397 DEBUG (0.047) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON (`auth_permission`.`content_type_id` = `django_content_type`.`id`) WHERE `auth_permission`.`content_type_id` IN (1) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(1,)
2018-11-16 14:27:41,399 DEBUG (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'admin'; args=('admin',)
2018-11-16 14:27:41,402 DEBUG (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'auth' AND `django_content_type`.`model` = 'permission'); args=('auth', 'permission')
2018-11-16 14:27:41,404 DEBUG (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'auth' AND `django_content_type`.`model` = 'group'); args=('auth', 'group')
2018-11-16 14:27:41,406 DEBUG (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'auth' AND `django_content_type`.`model` = 'user'); args=('auth', 'user')
2018-11-16 14:27:41,410 DEBUG (0.002) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON (`auth_permission`.`content_type_id` = `django_content_type`.`id`) WHERE `auth_permission`.`content_type_id` IN (2, 3, 4) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(2, 3, 4)
2018-11-16 14:27:41,412 DEBUG (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'auth'; args=('auth',)
2018-11-16 14:27:41,414 DEBUG (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'contenttypes' AND `django_content_type`.`model` = 'contenttype'); args=('contenttypes', 'contenttype')
2018-11-16 14:27:41,417 DEBUG (0.001) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON (`auth_permission`.`content_type_id` = `django_content_type`.`id`) WHERE `auth_permission`.`content_type_id` IN (5) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(5,)
2018-11-16 14:27:41,420 DEBUG (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'contenttypes'; args=('contenttypes',)
2018-11-16 14:27:41,423 DEBUG (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'sessions' AND `django_content_type`.`model` = 'session'); args=('sessions', 'session')
2018-11-16 14:27:41,426 DEBUG (0.001) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON (`auth_permission`.`content_type_id` = `django_content_type`.`id`) WHERE `auth_permission`.`content_type_id` IN (6) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(6,)
2018-11-16 14:27:41,432 DEBUG (0.002) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'sessions'; args=('sessions',)
2018-11-16 14:27:41,436 DEBUG (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'assets' AND `django_content_type`.`model` = 'assets'); args=('assets', 'assets')
2018-11-16 14:27:41,439 DEBUG (0.001) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON (`auth_permission`.`content_type_id` = `django_content_type`.`id`) WHERE `auth_permission`.`content_type_id` IN (7) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(7,)
2018-11-16 14:27:41,442 DEBUG (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'assets'; args=('assets',)
2018-11-16 14:27:41,444 DEBUG (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'user' AND `django_content_type`.`model` = 'users'); args=('user', 'users')
2018-11-16 14:27:41,448 DEBUG (0.001) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON (`auth_permission`.`content_type_id` = `django_content_type`.`id`) WHERE `auth_permission`.`content_type_id` IN (8) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(8,)
2018-11-16 14:27:41,451 DEBUG (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'user'; args=('user',)
2018-11-16 14:27:41,454 DEBUG (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'loganalysis' AND `django_content_type`.`model` = 'log'); args=('loganalysis', 'log')
2018-11-16 14:27:41,457 DEBUG (0.001) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON (`auth_permission`.`content_type_id` = `django_content_type`.`id`) WHERE `auth_permission`.`content_type_id` IN (9) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(9,)
