2018-11-17 14:48:32,283 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-17 14:48:36,798 DEBUG (0.002) SELECT `users`.`id`, `users`.`name`, `users`.`sex`, `users`.`age`, `users`.`city`, `users`.`creat_time`, `users`.`update_time` FROM `users`; args=()
2018-11-17 14:49:18,654 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-17 14:49:18,654 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 14:49:18,655 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-17 14:49:18,657 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 14:49:18,657 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = '1b3870ye0pauvnnizaoc7dp66x36xign' AND `django_session`.`expire_date` > '2018-11-17 06:49:18'); args=('1b3870ye0pauvnnizaoc7dp66x36xign', '2018-11-17 06:49:18')
2018-11-17 14:49:18,659 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-17 14:49:18,660 DEBUG (0.001) SELECT `users`.`id`, `users`.`name`, `users`.`sex`, `users`.`age`, `users`.`city`, `users`.`creat_time`, `users`.`update_time` FROM `users` LIMIT 21; args=()
2018-11-17 14:49:18,665 DEBUG (0.003) SELECT `users`.`id`, `users`.`name`, `users`.`sex`, `users`.`age`, `users`.`city`, `users`.`creat_time`, `users`.`update_time` FROM `users`; args=()
2018-11-17 14:49:28,523 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-17 14:49:28,523 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 14:49:28,524 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-17 14:49:28,526 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 14:49:28,527 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = '1b3870ye0pauvnnizaoc7dp66x36xign' AND `django_session`.`expire_date` > '2018-11-17 06:49:28'); args=('1b3870ye0pauvnnizaoc7dp66x36xign', '2018-11-17 06:49:28')
2018-11-17 14:49:28,529 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-17 14:49:28,532 DEBUG (0.002) SELECT `users`.`id`, `users`.`name`, `users`.`sex`, `users`.`age`, `users`.`city`, `users`.`creat_time`, `users`.`update_time` FROM `users` LIMIT 21; args=()
2018-11-17 14:49:28,541 DEBUG (0.005) SELECT `users`.`id`, `users`.`name`, `users`.`sex`, `users`.`age`, `users`.`city`, `users`.`creat_time`, `users`.`update_time` FROM `users`; args=()
2018-11-17 14:49:33,809 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-17 14:49:33,810 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 14:49:33,810 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-17 14:49:33,812 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 14:49:33,813 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = '1b3870ye0pauvnnizaoc7dp66x36xign' AND `django_session`.`expire_date` > '2018-11-17 06:49:33'); args=('1b3870ye0pauvnnizaoc7dp66x36xign', '2018-11-17 06:49:33')
2018-11-17 14:49:33,815 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-17 14:49:33,818 DEBUG (0.001) SELECT `users`.`id`, `users`.`name`, `users`.`sex`, `users`.`age`, `users`.`city`, `users`.`creat_time`, `users`.`update_time` FROM `users` WHERE `users`.`id` = 3; args=(3,)
2018-11-17 15:13:11,466 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-17 15:13:11,467 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:13:11,467 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-17 15:13:11,512 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:13:11,513 DEBUG (0.001) SHOW FULL TABLES; args=None
2018-11-17 15:13:11,516 DEBUG (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-11-17 15:13:22,022 DEBUG (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-17 15:13:22,022 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:13:22,023 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-17 15:13:22,081 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:13:22,082 DEBUG (0.001) SHOW FULL TABLES; args=None
2018-11-17 15:13:22,085 DEBUG (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-11-17 15:17:10,164 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-17 15:17:10,165 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:17:10,165 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-17 15:17:10,209 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:17:10,210 DEBUG (0.001) SHOW FULL TABLES; args=None
2018-11-17 15:17:10,212 DEBUG (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-11-17 15:17:15,032 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-17 15:17:15,033 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:17:15,033 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-17 15:17:15,035 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:17:15,036 DEBUG (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = '1b3870ye0pauvnnizaoc7dp66x36xign' AND `django_session`.`expire_date` > '2018-11-17 07:17:15'); args=('1b3870ye0pauvnnizaoc7dp66x36xign', '2018-11-17 07:17:15')
2018-11-17 15:17:15,037 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-17 15:17:15,039 DEBUG (0.001) SELECT `users`.`id`, `users`.`name`, `users`.`sex`, `users`.`age`, `users`.`city`, `users`.`creat_time`, `users`.`update_time` FROM `users` LIMIT 21; args=()
2018-11-17 15:17:15,045 DEBUG (0.003) SELECT `users`.`id`, `users`.`name`, `users`.`sex`, `users`.`age`, `users`.`city`, `users`.`creat_time`, `users`.`update_time` FROM `users`; args=()
2018-11-17 15:17:18,222 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-17 15:17:18,222 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:17:18,223 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-17 15:17:18,225 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:17:18,226 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = '1b3870ye0pauvnnizaoc7dp66x36xign' AND `django_session`.`expire_date` > '2018-11-17 07:17:18'); args=('1b3870ye0pauvnnizaoc7dp66x36xign', '2018-11-17 07:17:18')
2018-11-17 15:17:18,228 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-17 15:17:18,231 DEBUG (0.001) SELECT `users`.`id`, `users`.`name`, `users`.`sex`, `users`.`age`, `users`.`city`, `users`.`creat_time`, `users`.`update_time` FROM `users` WHERE `users`.`id` = 3; args=(3,)
2018-11-17 15:17:21,276 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-17 15:17:21,277 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:17:21,277 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-17 15:17:21,279 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:17:21,280 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = '1b3870ye0pauvnnizaoc7dp66x36xign' AND `django_session`.`expire_date` > '2018-11-17 07:17:21'); args=('1b3870ye0pauvnnizaoc7dp66x36xign', '2018-11-17 07:17:21')
2018-11-17 15:17:21,283 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-17 15:17:21,285 DEBUG (0.001) SELECT `users`.`id`, `users`.`name`, `users`.`sex`, `users`.`age`, `users`.`city`, `users`.`creat_time`, `users`.`update_time` FROM `users` WHERE `users`.`id` = 4; args=(4,)
2018-11-17 15:19:19,225 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-17 15:19:19,226 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:19:19,226 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-17 15:19:19,276 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:19:19,277 DEBUG (0.001) SHOW FULL TABLES; args=None
2018-11-17 15:19:19,279 DEBUG (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-11-17 15:19:21,757 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-17 15:19:21,758 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:19:21,758 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-17 15:19:21,760 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:19:21,761 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = '1b3870ye0pauvnnizaoc7dp66x36xign' AND `django_session`.`expire_date` > '2018-11-17 07:19:21'); args=('1b3870ye0pauvnnizaoc7dp66x36xign', '2018-11-17 07:19:21')
2018-11-17 15:19:21,764 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-17 15:19:21,767 DEBUG (0.002) SELECT `users`.`id`, `users`.`name`, `users`.`sex`, `users`.`age`, `users`.`city`, `users`.`creat_time`, `users`.`update_time` FROM `users` LIMIT 21; args=()
2018-11-17 15:19:21,777 DEBUG (0.003) SELECT `users`.`id`, `users`.`name`, `users`.`sex`, `users`.`age`, `users`.`city`, `users`.`creat_time`, `users`.`update_time` FROM `users`; args=()
2018-11-17 15:19:26,138 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-17 15:19:26,138 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:19:26,139 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-17 15:19:26,141 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:19:26,142 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = '1b3870ye0pauvnnizaoc7dp66x36xign' AND `django_session`.`expire_date` > '2018-11-17 07:19:26'); args=('1b3870ye0pauvnnizaoc7dp66x36xign', '2018-11-17 07:19:26')
2018-11-17 15:19:26,145 DEBUG (0.002) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-17 15:19:26,148 DEBUG (0.002) SELECT `users`.`id`, `users`.`name`, `users`.`sex`, `users`.`age`, `users`.`city`, `users`.`creat_time`, `users`.`update_time` FROM `users` LIMIT 21; args=()
2018-11-17 15:19:26,157 DEBUG (0.005) SELECT `users`.`id`, `users`.`name`, `users`.`sex`, `users`.`age`, `users`.`city`, `users`.`creat_time`, `users`.`update_time` FROM `users`; args=()
2018-11-17 15:19:38,192 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-17 15:19:38,192 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:19:38,193 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-17 15:19:38,195 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:19:38,196 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = '1b3870ye0pauvnnizaoc7dp66x36xign' AND `django_session`.`expire_date` > '2018-11-17 07:19:38'); args=('1b3870ye0pauvnnizaoc7dp66x36xign', '2018-11-17 07:19:38')
2018-11-17 15:19:38,198 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-17 15:19:38,201 DEBUG (0.001) SELECT `users`.`id`, `users`.`name`, `users`.`sex`, `users`.`age`, `users`.`city`, `users`.`creat_time`, `users`.`update_time` FROM `users` WHERE `users`.`id` = 3; args=(3,)
2018-11-17 15:20:35,602 DEBUG (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-17 15:20:35,603 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:20:35,603 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-17 15:20:35,662 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:20:35,663 DEBUG (0.001) SHOW FULL TABLES; args=None
2018-11-17 15:20:35,666 DEBUG (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-11-17 15:20:55,020 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-17 15:20:55,021 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:20:55,022 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-17 15:20:55,023 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:20:55,024 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = '1b3870ye0pauvnnizaoc7dp66x36xign' AND `django_session`.`expire_date` > '2018-11-17 07:20:55'); args=('1b3870ye0pauvnnizaoc7dp66x36xign', '2018-11-17 07:20:55')
2018-11-17 15:20:55,027 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-17 15:20:55,041 DEBUG (0.005) SELECT `users`.`id`, `users`.`name`, `users`.`sex`, `users`.`age`, `users`.`city`, `users`.`creat_time`, `users`.`update_time` FROM `users`; args=()
2018-11-17 15:21:01,420 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-17 15:21:01,421 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:21:01,425 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-17 15:21:01,427 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:21:01,428 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = '1b3870ye0pauvnnizaoc7dp66x36xign' AND `django_session`.`expire_date` > '2018-11-17 07:21:01'); args=('1b3870ye0pauvnnizaoc7dp66x36xign', '2018-11-17 07:21:01')
2018-11-17 15:21:01,430 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-17 15:21:01,433 DEBUG (0.001) SELECT `users`.`id`, `users`.`name`, `users`.`sex`, `users`.`age`, `users`.`city`, `users`.`creat_time`, `users`.`update_time` FROM `users` WHERE `users`.`id` = 3; args=(3,)
2018-11-17 15:21:39,219 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-17 15:21:39,220 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:21:39,220 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-17 15:21:39,222 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:21:39,223 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = '1b3870ye0pauvnnizaoc7dp66x36xign' AND `django_session`.`expire_date` > '2018-11-17 07:21:39'); args=('1b3870ye0pauvnnizaoc7dp66x36xign', '2018-11-17 07:21:39')
2018-11-17 15:21:39,226 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-17 15:21:39,229 DEBUG (0.000) INSERT INTO `users` (`name`, `sex`, `age`, `city`, `creat_time`, `update_time`) VALUES ('大王的', 0, 12, '123', '2018-11-17 07:21:39', '2018-11-17 07:21:39'); args=['大王的', 0, 12, '123', '2018-11-17 07:21:39', '2018-11-17 07:21:39']
2018-11-17 15:21:49,841 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-17 15:21:49,842 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:21:49,843 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-17 15:21:49,844 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:21:49,845 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = '1b3870ye0pauvnnizaoc7dp66x36xign' AND `django_session`.`expire_date` > '2018-11-17 07:21:49'); args=('1b3870ye0pauvnnizaoc7dp66x36xign', '2018-11-17 07:21:49')
2018-11-17 15:21:49,848 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-17 15:21:49,857 DEBUG (0.006) SELECT `users`.`id`, `users`.`name`, `users`.`sex`, `users`.`age`, `users`.`city`, `users`.`creat_time`, `users`.`update_time` FROM `users`; args=()
2018-11-17 15:28:24,860 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-17 15:28:24,861 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:28:24,861 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-17 15:28:24,863 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:28:24,864 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = '1b3870ye0pauvnnizaoc7dp66x36xign' AND `django_session`.`expire_date` > '2018-11-17 07:28:24'); args=('1b3870ye0pauvnnizaoc7dp66x36xign', '2018-11-17 07:28:24')
2018-11-17 15:28:24,867 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-17 15:28:24,875 DEBUG (0.005) SELECT `users`.`id`, `users`.`name`, `users`.`sex`, `users`.`age`, `users`.`city`, `users`.`creat_time`, `users`.`update_time` FROM `users`; args=()
2018-11-17 15:28:43,217 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-17 15:28:43,218 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:28:43,219 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-17 15:28:43,220 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:28:43,221 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = '1b3870ye0pauvnnizaoc7dp66x36xign' AND `django_session`.`expire_date` > '2018-11-17 07:28:43'); args=('1b3870ye0pauvnnizaoc7dp66x36xign', '2018-11-17 07:28:43')
2018-11-17 15:28:43,224 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-17 15:28:43,226 DEBUG (0.000) INSERT INTO `users` (`name`, `sex`, `age`, `city`, `creat_time`, `update_time`) VALUES ('奔波霸', 0, 23, 'liaoyang', '2018-11-17 07:28:43', '2018-11-17 07:28:43'); args=['奔波霸', 0, 23, 'liaoyang', '2018-11-17 07:28:43', '2018-11-17 07:28:43']
2018-11-17 15:28:49,202 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-17 15:28:49,203 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:28:49,203 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-17 15:28:49,205 DEBUG (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-11-17 15:28:49,206 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = '1b3870ye0pauvnnizaoc7dp66x36xign' AND `django_session`.`expire_date` > '2018-11-17 07:28:49'); args=('1b3870ye0pauvnnizaoc7dp66x36xign', '2018-11-17 07:28:49')
